DRUG_NAME	nGENE	BLADDER_CPS	BLADDER_CGPS	COLON_CPS	COLON_CGPS	NSCLC_CPS	NSCLC_CGPS	OVARIAN_CPS	OVARIAN_CGPS
alizapride	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
allopurinol	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
almotriptan	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alogliptin	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alosetron	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alpelisib	5.0	0.0	0.0	3.4482758620689653	20.0	0.0	0.0	0.0	0.0
alpha-Ergocryptine	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alpidem	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alprazolam	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alprenolol	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alprostadil	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alteplase	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
altretamine	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
alvimopan	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amantadine	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ambenonium	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ambrisentan	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ambroxol	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amcinonide	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amfetamine	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amidefrine	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amifampridine	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amifostine	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amikacin	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amiloride	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amineptine	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aminoacridine	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aminobenzoic acid	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aminobutyric acid	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aminocaproic acid	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aminoglutethimide	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aminohippuric acid	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aminophenazone	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aminopicoline	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aminopterin	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aminoquinuride	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aminosalicylic acid	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amiodarone	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amisulpride	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amitriptyline	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amitriptylinoxide	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amlexanox	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amlodipine	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amodiaquine	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amoxapine	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amoxicillin	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amperozide	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ampicillin	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amprenavir	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amrinone	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amsacrine	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anagliptin	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anagrelide	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anakinra	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anastrozole	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
androisoxazole	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
androstanolone	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
androstenediol	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
androstenedione	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anecortave	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
angiotensin II	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anhydrovinblastine	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anidulafungin	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anileridine	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anisindione	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ansuvimab	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
antazoline	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
apalutamide	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
apatinib	5.0	0.0	0.0	3.4482758620689653	20.0	5.88235294117647	20.0	0.0	0.0
apixaban	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
apomorphine	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
apraclonidine	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
apremilast	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aprepitant	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aprindine	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aprotinin	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aranidipine	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
arbutamine	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
arbutin	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
arformoterol	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
argatroban	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
arginine glutamate	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
arginine hydrochloride	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aripiprazole	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aripiprazole lauroxil	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
armodafinil	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
arsenic trioxide	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
artemisinin	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
articaine	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ascorbic acid	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
asenapine	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
asparagine	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aspartic acid	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
astemizole	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
asulacrine	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
asunaprevir	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
atazanavir	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
atenolol	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
atezolizumab	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
atoltivimab	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
atomoxetine	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
atorvastatin	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
atosiban	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
atovaquone	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
atracurium	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
atropine	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
auranofin	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aurothioglucose	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
avanafil	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
avapritinib	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
avatrombopag	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
avelumab	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
avibactam	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
avobenzone	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
axitinib	99.0	50.0	1.0101010101010102	0.0	0.0	17.647058823529413	3.0303030303030303	0.0	0.0
azacitidine	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
azacyclonol	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
azapetine	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
azapropazone	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
azaribine	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
azasetron	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
azatadine	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
azathioprine	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
azelaic acid	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
azelastine	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
azelnidipine	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
azilsartan medoxomil	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
azimilide	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
azithromycin	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
azlocillin	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aztreonam	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bacampicillin	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bacitracin	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
baclofen	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
baicalin	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
baloxavir marboxil	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
balsalazide	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bambuterol	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bamipine	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bamlanivimab	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
baricitinib	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
barnidipine	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
basiliximab	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bazedoxifene	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
becaplermin	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
beclabuvir	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
beclometasone dipropionate	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bedaquiline	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bekanamycin	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
belantamab mafodotin	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
belatacept	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
belimumab	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
belinostat	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
belotecan	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bempedoic acid	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benazepril	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bendamustine	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bendroflumethiazide	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benidipine	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benoxaprofen	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benperidol	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benralizumab	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benserazide	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benzamycin	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benzarone	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benzathine benzylpenicillin	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benzatropine	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benzbromarone	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benzethonium	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benziodarone	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benzocaine	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benzoic acid	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benzoin	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benzonatate	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benzphetamine	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benzquinamide	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benzthiazide	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benzydamine	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benzyl benzoate	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benzylpenicillin	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
benzylsulfamide	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bepotastine	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bepridil	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
beraprost	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bergapten	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
berotralstat	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
besifloxacin	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
betacarotene	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
betahistine	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
betamethasone	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
betamethasone acetate	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
betamethasone benzoate	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
betamethasone dipropionate	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
betamethasone phosphate	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
betamethasone valerate	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
betamipron	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
betanidine	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
betaxolol	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
betazole	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bethanechol	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
betrixaban	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bevacizumab	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bevantolol	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bexarotene	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bezafibrate	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bezlotoxumab	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
biapenem	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bicalutamide	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bictegravir	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bietamiverine	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bifemelane	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bifonazole	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bilastine	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bimatoprost	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
binimetinib	2.0	0.0	0.0	0.0	0.0	11.76470588235294	100.0	0.0	0.0
biotin	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
biperiden	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
biriperone	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bisacodyl	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bisantrene	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bismuth subsalicylate	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bisoprolol	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bisulepine	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bithionol	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bitolterol	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bivalirudin	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
blinatumomab	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
blonanserin	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
boceprevir	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bopindolol	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
borofalan (10B)	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bortezomib	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bosentan	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bosutinib	201.0	0.0	0.0	10.344827586206897	1.4925373134328357	11.76470588235294	0.9950248756218906	0.0	0.0
