DRUG_NAME,STRUCT_ID
diclofenac,865
dicloxacillin,866
dicoumarol,867
dicycloverine,868
didanosine,869
dienestrol,870
dienogest,871
diethazine,872
diethylcarbamazine,873
diethylpropion,874
diethylstilbestrol,875
difenoxin,878
diflunisal,880
digitoxin,881
digoxin,882
alpha-Ergocryptine,885
dihydrocodeine,886
dihydroergocristine,887
dihydroergotamine,888
hydroquinidine,889
dilazep,893
dilevalol,894
diltiazem,897
dimemorfan,900
dimenhydrinate,901
dimetacrine,902
dimetindene,903
dimethyltubocurarinium,908
dioxyline,911
dinoprost,912
dinoprostone,913
diphemanil,915
diphenhydramine,916
diphenoxylate,918
diphenylpyraline,920
dipivefrine,922
diprafenone,923
dipyridamole,924
disopyramide,926
distigmine,927
disulfiram,928
ditiocarb,931
levomenthol,934
dobutamine,937
docetaxel,939
docosanol,940
dofetilide,942
domperidone,945
donepezil,946
dopamine,947
dopexamine,948
dorzolamide,949
dosulepin,951
doxapram,953
doxazosin,954
doxepin,956
doxercalciferol,957
doxifluridine,958
doxorubicin,960
doxycycline,961
doxylamine,962
drostanolone propionate,965
droperidol,966
drospirenone,968
drotaverine,969
droxidopa,971
duloxetine,972
dutasteride,973
dyclonine,974
dydrogesterone,975
diprophylline,976
ebastine,977
ebrotidine,979
echothiophate,982
econazole,983
edatrexate,986
edetic acid,987
edrophonium,988
efavirenz,989
eflornithine,990
efonidipine,992
eletriptan,995
elliptinium,996
eltanolone,997
emedastine,999
emetine,1001
emtricitabine,1003
enalapril,1005
enalaprilat,1006
encainide,1007
endralazine,1008
enflurane,1009
enfuvirtide,1010
enoxacin,1013
enoximone,1014
enprofylline,1015
enprostil,1016
entacapone,1018
entecavir,1019
epalrestat,1021
eperisone,1022
ephedrine,1024
epinastine,1027
epinephrine,1028
epirubicin,1030
eplerenone,1032
epoprostenol,1034
eprosartan,1037
eptifibatide,1040
ergometrine,1042
ergotamine,1043
eritoran,1044
erlotinib,1045
ertapenem,1046
erythromycin,1048
erythromycin propionate,1052
escitalopram,1053
esmolol,1054
esomeprazole,1055
estazolam,1056
estradiol,1057
estradiol benzoate,1058
estradiol cypionate,1059
estradiol mustard,1062
estradiol valerate,1064
estramustine phosphate,1066
estriol succinate,1067
eszopiclone,1068
ethacrynic acid,1071
ethambutol,1073
ethanol,1076
ethchlorvynol,1078
ethinylestradiol,1082
ethionamide,1083
ethisterone,1084
profenamine,1086
ethosuximide,1087
ethotoin,1088
ethoxzolamide,1089
ethyl biscoumacetate,1091
ethylestrenol,1094
etynodiol,1095
etidocaine,1097
etidronic acid,1098
etilamfetamine,1100
etilefrine,1101
etizolam,1102
etodolac,1103
etofylline,1107
etomidate,1109
etonogestrel,1110
etoperidone,1111
etoposide,1112
etoricoxib,1113
etravirine,1115
etretinate,1116
etryptamine,1117
everolimus,1118
exemestane,1122
exenatide,1123
ezetimibe,1125
fadrozole,1126
famciclovir,1128
famotidine,1129
famprofazone,1130
fasudil,1132
febuxostat,1137
felbamate,1140
felbinac,1141
felodipine,1142
fenbufen,1145
fendiline,1148
fenfluramine,1150
fenofibrate,1152
fenoldopam,1153
fenoprofen,1154
fenoterol,1155
fentanyl,1164
fentiazac,1165
fexofenadine,1170
finasteride,1171
flavoxate,1175
flecainide,1176
fleroxacin,1177
floctafenine,1178
flopropione,1180
floxacillin,1183
floxuridine,1184
fluconazole,1187
flucytosine,1188
fludarabine phosphate,1189
fludrocortisone acetate,1191
flufenamic acid,1193
fluindione,1194
flumazenil,1195
flumetasone pivalate,1198
flunarizine,1200
flunisolide,1201
flunitrazepam,1202
fluocinolone acetonide,1204
fluocinonide,1205
fluorescein,1207
fluorometholone,1208
fluoxetine,1209
fluoxymesterone,1210
flupentixol,1211
fluphenazine,1212
fluphenazine decanoate,1213
fluphenazine enanthate,1214
flupirtine,1215
fluprednisolone,1216
fludroxycortide,1217
flurazepam,1218
flurbiprofen,1219
fluspirilene,1222
flutamide,1223
fluticasone propionate,1225
flutrimazole,1227
fluvastatin,1229
fluvoxamine,1230
folic acid,1231
leucovorin,1232
fomepizole,1233
fondaparinux,1236
formestane,1238
formoterol,1239
fosamprenavir,1240
foscarnet,1241
fosfluconazole,1242
fosfomycin,1243
fosinopril,1245
fosphenytoin,1247
frovatriptan,1251
fructose,1252
ftivazide,1253
fulvestrant,1255
furaltadone,1256
furosemide,1258
fusidic acid,1261
aminobutyric acid,1262
gabapentin,1264
galantamine,1272
gallamine,1273
gallopamil,1275
gamolenic acid,1276
ganciclovir,1277
ganirelix,1279
gatifloxacin,1280
gefitinib,1282
gemcitabine,1283
gemfibrozil,1285
gemifloxacin,1286
gestodene,1291
gestrinone,1292
gimeracil,1293
glafenine,1297
glibornuride,1298
gliclazide,1299
glimepiride,1300
glipizide,1301
gliquidone,1302
glisoxepide,1305
glutamic acid,1310
glutamine,1311
glutathione,1312
glutethimide,1313
glibenclamide,1314
glycine,1319
glycyrrhizic acid,1325
goserelin,1327
gossypol,1328
granisetron,1329
grepafloxacin,1330
griseofulvin,1331
guaiacol,1334
guanadrel,1339
guanethidine,1342
guanfacine,1343
guanidine,1344
halazepam,1348
ulobetasol propionate,1349
halofantrine,1350
haloperidol,1353
halopredone acetate,1354
haloprogin,1355
halothane,1356
heparin,1358
hesperetin,1362
hetacillin,1363
hexachlorophene,1364
hexafluronium,1365
hexamethonium,1366
hexestrol,1368
hexobarbital,1369
hexobendine,1370
hexocyclium,1371
hexylcaine,1373
hexylresorcinol,1374
histamine,1375
histidine,1377
homatropine,1379
hycanthone,1383
hydralazine,1384
hydrochlorothiazide,1385
hydrocodone,1386
hydrocortamate,1387
hydrocortisone,1388
hydrocortisone cypionate,1390
hydroflumethiazide,1392
hydromorphone,1393
hydroxyamfetamine,1394
hydroxychloroquine,1395
hydroxystilbamidine,1398
hydroxycarbamide,1399
hydroxyzine,1400
hymecromone,1401
hyoscyamine,1402
ibandronic acid,1404
ibudilast,1406
ibuprofen,1407
ibuproxam,1411
ibutilide,1412
icosapent ethyl,1413
idarubicin,1414
idebenone,1416
idoxuridine,1417
ifenprodil,1419
iloprost,1422
imatinib,1423
imidapril,1424
imipenem,1426
imipramine,1427
imiquimod,1429
incadronic acid,1431
indalpine,1432
indapamide,1433
indecainide,1434
indenolol,1436
indinavir,1437
indisetron,1438
indobufen,1439
indomethacin,1440
indoprofen,1442
indoramin,1443
intoplicine,1446
diiodohydroxyquinoline,1457
ipratropium,1475
ipriflavone,1477
iprindole,1478
iproniazid,1480
irbesartan,1481
irinotecan,1482
irofulven,1483
isepamicin,1486
isocarboxazid,1490
isoetarine,1491
isoflurane,1493
fluostigmine,1494
isoniazid,1497
isoprenaline,1499
isopropamide,1500
isosorbide dinitrate,1505
isosorbide mononitrate,1506
isotretinoin,1508
isoxicam,1509
isradipine,1511
itraconazole,1513
ixabepilone,1517
kanamycin,1519
bekanamycin,1520
ketamine,1523
ketanserin,1524
ketobemidone,1526
ketoconazole,1527
ketoprofen,1528
ketorolac,1529
ketotifen,1530
labetalol,1531
lacidipine,1532
lactose,1535
lamivudine,1539
lamotrigine,1540
landiolol,1545
lanreotide,1546
lansoprazole,1547
lapatinib,1548
arginine hydrochloride,1549
aspartic acid,1550
latanoprost,1551
leflunomide,1552
letrozole,1556
leucine,1557
leuprorelin,1559
levallorphan,1560
levamisole,1561
levamfetamine,1562
levetiracetam,1563
levocabastine,1564
levocetirizine,1566
levodopa,1567
levofloxacin,1569
levomethadyl acetate,1571
levonorgestrel,1572
levorphanol,1574
levosalbutamol,1575
levosimendan,1576
levosulpiride,1577
lidocaine,1579
lidoflazine,1580
limaprost,1581
lincomycin,1582
lindane,1583
linezolid,1584
liothyronine,1585
lisinopril,1587
lisuride,1588
lofepramine,1592
lofexidine,1593
lomefloxacin,1594
lomerizine,1595
lonazolac,1597
loperamide,1599
lopinavir,1601
loprazolam,1602
loracarbef,1603
loratadine,1605
lorazepam,1606
lorcainide,1607
losartan,1610
loteprednol etabonate,1611
lovastatin,1612
loxapine,1613
loxiglumide,1614
loxoprofen,1615
lucanthone,1616
lumefantrine,1617
lumiracoxib,1618
lysergide,1621
lysine,1622
mafenide,1624
malathion,1626
manidipine,1631
maprotiline,1634
maraviroc,1635
masoprocol,1637
maxacalcitol,1638
mazindol,1640
mebendazole,1641
mebhydrolin,1643
mecamylamine,1646
mecillinam,1648
meclozine,1649
meclofenamic acid,1650
medazepam,1654
medetomidine,1655
medroxalol,1658
medroxyprogesterone,1659
medrysone,1662
mefenamic acid,1663
mefloquine,1665
megestrol acetate,1667
meglutol,1670
melatonin,1672
meloxicam,1676
melperone,1677
melphalan,1678
memantine,1679
menadione,1683
menadione sodium bisulfite,1684
menatetrenone,1685
pecazine,1688
mepenzolate,1689
pethidine,1690
mephentermine,1694
mephenytoin,1695
methylphenobarbital,1696
mepivacaine,1700
meprednisone,1702
meprobamate,1704
meproscillarin,1705
meptazinol,1706
mequitazine,1707
mercaptopurine,1708
meropenem,1709
mesalazine,1710
mesoridazine,1712
mestranol,1714
orciprenaline,1720
metaraminol,1721
metergoline,1723
metformin,1725
methacholine,1726
metacycline,1727
methadone,1728
acetylmethadol,1729
methamphetamine,1732
methanthelinium,1736
methapyrilene,1738
methaqualone,1739
metharbital,1740
methazolamide,1741
methdilazine,1742
meticillin,1744
thiamazole,1745
methocarbamol,1747
methohexital,1748
methotrexate,1751
levomepromazine,1752
methoxamine,1753
methoxyflurane,1754
methscopolamine,1757
methsuximide,1758
methylclothiazide,1759
metildigoxin,1761
methyldopa,1762
methylthioninium chloride,1763
methylergometrine,1764
naltrexone,1765
methylparaben,1766
methylphenidate,1767
methylprednisolone,1768
methylprednisolone acetate,1770
methylprednisolone succinate,1771
methyprylon,1774
methysergide,1775
metiazinic acid,1776
metipranolol,1779
metixene,1780
metochalcone,1781
metoclopramide,1782
metolazone,1783
metopimazine,1784
metoprolol,1786
metronidazole,1790
metyrapone,1791
metirosine,1792
mexiletine,1794
mezlocillin,1795
mianserin,1796
mibefradil,1797
micafungin,1798
miconazole,1800
midazolam,1802
midodrine,1803
mifepristone,1805
miglitol,1806
miglustat,1807
milnacipran,1808
milrinone,1809
miltefosine,1810
mimosine,1811
minaprine,1812
minocycline,1813
minoxidil,1814
mirtazapine,1816
misoprostol,1817
mitiglinide,1818
mitomycin,1819
mitotane,1820
mitoxantrone,1821
mivacurium,1822
mizolastine,1824
moclobemide,1825
modafinil,1826
moexipril,1827
mofezolac,1829
molindone,1830
molsidomine,1831
mometasone furoate,1832
monobenzone,1834
montelukast,1836
moperone,1837
moracizine,1842
morphine,1845
mosapramine,1847
mosapride,1848
latamoxef,1851
moxastine,1852
moxifloxacin,1854
moxonidine,1856
mupirocin,1857
mycophenolate mofetil,1859
mycophenolic acid,1860
nabilone,1862
nabumetone,1863
nadolol,1865
nafamostat,1867
nafarelin,1868
nafcillin,1869
naftidrofuryl,1870
naftifine,1872
naftopidil,1873
nalbuphine,1874
nalidixic acid,1875
nalmefene,1876
nalorphine,1877
naloxone,1878
nandrolone,1879
nandrolone decanoate,1881
nandrolone phenpropionate,1882
naproxen,1883
naratriptan,1884
nateglinide,1886
nebivolol,1887
nedocromil,1889
nefazodone,1890
nefopam,1891
nelfinavir,1893
nemonapride,1895
framycetin,1896
neostigmine,1897
nepafenac,1899
nepinalone,1900
nesiritide,1901
nevirapine,1904
nicotinamide,1906
nicardipine,1909
niclosamide,1912
nicorandil,1919
nicotine,1920
nifedipine,1922
nifekalant,1923
niflumic acid,1925
nifuroxazide,1928
nilotinib,1932
nilutamide,1933
nilvadipine,1934
nimesulide,1935
nimodipine,1937
nisoldipine,1942
nitazoxanide,1943
nitisinone,1944
nitrazepam,1945
nitrendipine,1947
nitric oxide,1948
nitrofurantoin,1949
nitrofurazone,1950
glyceryl trinitrate,1952
nitroxoline,1954
nizatidine,1955
nomifensine,1958
norelgestromin,1959
norepinephrine,1960
norethisterone,1962
norethindrone acetate,1963
norethynodrel,1965
norfloxacin,1967
norgestimate,1968
nortriptyline,1971
noscapine,1973
novobiocin,1974
buphenine,1976
octreotide,1980
ofloxacin,1981
olanzapine,1982
olmesartan medoxomil,1985
olopatadine,1986
olprinone,1987
olsalazine,1988
omapatrilat,1989
omeprazole,1990
ondansetron,1992
opipramol,1993
orlistat,1996
orphenadrine,1999
oseltamivir,2001
oteracil,2002
ouabain,2004
oxacillin,2006
oxametacin,2008
oxandrolone,2011
oxaprozin,2013
oxatomide,2014
oxazepam,2015
oxcarbazepine,2017
oxyphencyclimine,2026
oxprenolol,2027
oxybutynin,2028
oxycodone,2029
oxymetazoline,2032
oxymetholone,2033
oxymorphone,2034
oxyphenbutazone,2036
oxyphenonium,2039
oxytetracycline,2041
oxytocin,2042
ozagrel,2043
paclitaxel,2044
palmidrol,2045
palonosetron,2046
pamabrom,2047
pamidronic acid,2048
aminobenzoic acid,2049
aminosalicylic acid,2050
pancuronium,2052
pantoprazole,2054
papaverine,2056
paramethadione,2059
parecoxib,2063
pargyline,2065
paricalcitol,2066
paroxetine,2068
pefloxacin,2071
pemetrexed,2073
pemoline,2075
penbutolol,2078
penciclovir,2079
penfluridol,2080
penicillamine,2081
benzylpenicillin,2082
phenoxymethylpenicillin,2083
pentagastrin,2088
pentamidine,2090
pentobarbital,2095
pentolonium,2096
pentostatin,2098
pentoxifylline,2099
pergolide,2105
perhexiline,2106
periciazine,2107
perindopril,2108
perlapine,2111
perospirone,2112
perphenazine,2113
phenacemide,2114
phenacetin,2115
phenazocine,2119
phenazopyridine,2120
phencyclidine,2121
phendimetrazine,2122
phenelzine,2123
phenformin,2126
phenindamine,2129
phenindione,2130
pheniprazine,2131
pheniramine,2132
phenmetrazine,2133
phenobarbital,2134
phenolphthalein,2135
phenoxybenzamine,2136
phenprocoumon,2138
phensuximide,2139
phentermine,2140
phentolamine,2142
phenylalanine,2144
phenylbutazone,2145
phenylephrine,2146
phenylpropanolamine,2149
phenyltoloxamine,2150
phenytoin,2152
phloroglucinol,2153
oxagrelate,2156
physostigmine,2159
picrotoxin,2162
picrotin,2163
piketoprofen,2165
pilocarpine,2166
pilsicainide,2167
pimecrolimus,2168
pimethixene,2169
pimobendan,2171
pimozide,2172
pinacidil,2173
pindolol,2176
pioglitazone,2179
pipamazine,2180
pipamperone,2181
pipecuronium,2183
piperacillin,2187
piperazine,2188
pipotiazine palmitate,2193
pirbuterol,2199
pirenzepine,2200
piretanide,2201
piribedil,2202
pirlindole,2206
pirmenol,2207
piroxicam,2210
pirprofen,2213
pitavastatin,2214
pizotifen,2220
polythiazide,2228
pralidoxime,2231
pralmorelin,2232
pramipexole,2233
pramlintide,2236
pranlukast,2237
pranoprofen,2238
pravastatin,2239
prazepam,2240
praziquantel,2241
prednicarbate,2243
prednisolone,2245
prednisolone acetate,2247
prednisolone tebutate,2251
prednisone,2253
pregabalin,2255
pregnenolone succinate,2256
prenalterol,2258
prenylamine,2261
pridinol,2263
prilocaine,2265
primaquine,2266
primidone,2267
probenecid,2268
probucol,2269
procainamide,2270
procaine,2271
procaterol,2273
prochlorperazine,2274
procyclidine,2276
progabide,2278
progesterone,2279
proglumide,2281
proguanil,2282
promazine,2284
promegestone,2285
promethazine,2286
pronetalol,2289
propafenone,2291
propantheline,2293
proparacaine,2294
propentofylline,2296
propiomazine,2298
propiram,2299
propofol,2302
propranolol,2303
propylthiouracil,2308
propyphenazone,2309
proquazone,2311
proscillaridin,2313
protionamide,2314
protirelin,2316
protokylol,2318
protriptyline,2320
pseudoephedrine,2326
pyrazinamide,2328
pyridostigmine,2330
mepyramine,2331
pyrimethamine,2332
pyrvinium,2335
quazepam,2336
quetiapine,2337
mepacrine,2338
quinagolide,2339
quinapril,2340
quinestrol,2342
quinethazone,2343
quingestanol acetate,2345
quinidine,2346
rabeprazole,2350
raloxifene,2351
raltegravir,2352
raltitrexed,2353
ramatroban,2354
ramelteon,2355
ramipril,2356
ramosetron,2357
ranitidine,2358
ranolazine,2359
rebamipide,2360
reboxetine,2361
regadenoson,2362
remifentanil,2363
remoxipride,2365
repaglinide,2366
reproterol,2368
rescinnamine,2369
reserpine,2370
retinol acetate,2372
ribavirin,2373
rifabutin,2376
rifampicin,2377
rifapentine,2378
rifaximin,2379
rilmenidine,2381
riluzole,2382
rimantadine,2383
rimexolone,2384
ripazepam,2386
risedronic acid,2387
levisoprenaline,2388
risperidone,2389
ritodrine,2390
ritonavir,2391
rivastigmine,2392
rizatriptan,2393
rocuronium,2396
rofecoxib,2397
rolitetracycline,2399
ropinirole,2402
ropivacaine,2403
rosiglitazone,2405
rosuvastatin,2406
rotigotine,2407
roxatidine acetate,2408
roxithromycin,2410
rupatadine,2413
ademetionine,2414
salicylic acid,2416
salmeterol,2419
saquinavir,2422
sarpogrelate,2423
scopolamine,2424
secnidazole,2427
secobarbital,2428
selegiline,2429
seratrodast,2432
sermorelin,2433
sertaconazole,2434
sertindole,2435
sertraline,2436
setastine,2437
sevoflurane,2439
sibutramine,2440
sildenafil,2441
silymarin,2443
simvastatin,2445
sirolimus,2446
sisomicin,2447
sitagliptin,2448
sitafloxacin,2449
sitosterol,2451
sivelestat,2452
solifenacin,2457
sorafenib,2459
sorivudine,2463
sotalol,2464
sparfloxacin,2466
spectinomycin,2468
spiclomazine,2469
spiperone,2470
spirapril,2474
spironolactone,2475
stanozolol,2477
stavudine,2478
stiripentol,2480
streptomycin,2481
strychnine,2484
succinic acid,2487
suxamethonium,2489
sufentanil,2491
sulbactam,2492
sulconazole,2495
sulfacetamide,2497
sulfacytine,2499
sulfadiazine,2500
sulfadimethoxine,2501
sulfadimidine,2502
sulfadoxine,2503
sulfaethidole,2504
sulfaguanidine,2505
sulfamerazine,2510
sulfameter,2511
sulfamethizole,2512
sulfamethoxazole,2514
sulfalene,2517
sulfanilamide,2521
sulfaphenazole,2523
sulfapyridine,2524
sulfasalazine,2525
sulfathiazole,2527
sulfinpyrazone,2528
sulfafurazole,2529
sulfobromophthalein,2531
sulforidazine,2532
aldesulfone,2533
sulindac,2534
suloctidil,2536
sulpiride,2537
sulprostone,2538
sultiame,2540
sultopride,2541
sumatriptan,2543
sunitinib,2544
suprofen,2546
secretin human,2548
tacrine,2551
tacrolimus,2552
tadalafil,2553
talbutal,2556
talinolol,2557
talipexole,2558
taltirelin,2560
tamoxifen,2561
tamsulosin,2562
tandospirone,2563
tazarotene,2571
tazobactam,2572
tegaserod,2579
teicoplanin aglycone,2580
telithromycin,2581
telmisartan,2583
temazepam,2585
temocapril,2586
teniposide,2590
tenofovir,2592
tenofovir disoproxil,2593
tenoxicam,2595
terbinafine,2597
terbutaline,2598
terconazole,2599
terfenadine,2600
terguride,2601
terodiline,2603
tertatolol,2605
testolactone,2606
testosterone,2607
testosterone undecanoate,2608
tetrabenazine,2609
tetracaine,2610
tetracycline,2611
sapropterin,2612
tetroxoprim,2615
thalidomide,2616
theophylline,2620
thiabendazole,2621
thiamphenicol,2624
thiamylal,2626
thiethylperazine,2630
thioguanine,2632
thiopental,2633
thioproperazine,2635
thioridazine,2637
thiotepa,2638
thiothixene,2639
levothyroxine,2646
tiagabine,2648
tiamenidine,2649
tianeptine,2650
tiapride,2651
tiaprofenic acid,2652
tibolone,2655
ticarcillin,2656
ticlopidine,2657
tienilic acid,2658
tilidine,2663
tiliquinol,2664
tiludronic acid,2666
tinoridine,2672
tiocarlide,2673
tioconazole,2675
tiopronin,2676
tiotropium bromide,2677
tiquizium,2678
tiracizine,2679
tirofiban,2680
tizanidine,2683
tobramycin,2684
tocainide,2686
tofisopam,2693
tolazamide,2694
tolazoline,2695
tolbutamide,2696
tolcapone,2697
tolfenamic acid,2698
tolmetin,2699
tolonium,2701
toloxatone,2702
tolperisone,2703
tolrestat,2704
tolterodine,2705
topiramate,2706
topotecan,2707
torsemide,2708
toremifene,2709
tramadol,2711
trandolapril,2712
tranexamic acid,2713
tranilast,2714
tranylcypromine,2715
travoprost,2716
trazodone,2717
treprostinil,2720
tretinoin,2722
tretoquinol,2723
triamcinolone,2725
triamcinolone acetonide,2726
triamcinolone diacetate,2727
triamterene,2728
triazolam,2729
trichlormethiazide,2733
triclabendazole,2734
triclofos,2735
tridihexethyl,2737
trientine,2738
trifluoperazine,2740
trifluperidol,2741
triflupromazine,2742
trifluridine,2743
trihexyphenidyl,2745
trilostane,2746
alimemazine,2749
trimetazidine,2750
trimethadione,2751
trimetaphan,2752
trimethoprim,2755
